down,distance_bucket,field_zone,play_type,plays,success_rate,avg_epa,avg_yards
3.0,Long (7-10),Own Territory,run,85,0.38823529411764707,0.34919800769866416,8.223529411764705
3.0,Long (7-10),Plus Territory,pass,534,0.36142322097378277,-0.17193519338161972,5.8164794007490634
3.0,Long (7-10),Plus Territory,run,93,0.45161290322580644,0.2614211986261645,7.397849462365591
3.0,Long (7-10),Red Zone,pass,248,0.3387096774193548,0.0812876016954396,3.6129032258064515
3.0,Long (7-10),Red Zone,run,33,0.2727272727272727,-0.03154975652912522,3.6666666666666665
3.0,Medium (4-6),Backed Up,pass,97,0.4948453608247423,0.2756268592736171,6.65979381443299
3.0,Medium (4-6),Backed Up,run,12,0.5,0.281697657366748,5.416666666666667
3.0,Medium (4-6),Own Territory,pass,671,0.43219076005961254,-0.04535062142613796,6.143070044709389
3.0,Medium (4-6),Own Territory,run,73,0.5342465753424658,0.5091786030273288,8.178082191780822
3.0,Medium (4-6),Plus Territory,pass,487,0.4804928131416838,0.1147339740166383,6.441478439425051
3.0,Medium (4-6),Plus Territory,run,113,0.4424778761061947,-0.06501285163054082,4.646017699115045
3.0,Medium (4-6),Red Zone,pass,286,0.40559440559440557,0.078923299398814,2.9405594405594404
3.0,Medium (4-6),Red Zone,run,54,0.5370370370370371,0.4564346321001122,4.333333333333333
3.0,Short (1-3),Backed Up,pass,46,0.5434782608695652,0.1561258108438617,7.304347826086956
3.0,Short (1-3),Backed Up,run,37,0.7027027027027027,0.03376811786831573,2.7027027027027026
3.0,Short (1-3),Own Territory,pass,434,0.5483870967741935,-0.06362019369422527,5.663594470046083
3.0,Short (1-3),Own Territory,run,400,0.68,0.02354891991883066,4.01
3.0,Short (1-3),Plus Territory,pass,276,0.4927536231884058,-0.28758394137318743,5.278985507246377
3.0,Short (1-3),Plus Territory,run,390,0.6871794871794872,0.13095361502056227,4.156410256410257
3.0,Short (1-3),Red Zone,pass,233,0.41201716738197425,-0.2636703089592041,2.0
3.0,Short (1-3),Red Zone,run,257,0.6264591439688716,0.1137231127963192,1.8988326848249026
3.0,Very Long (11+),Backed Up,pass,135,0.2962962962962963,-0.08694661891096525,7.985185185185185
3.0,Very Long (11+),Backed Up,run,38,0.3684210526315789,-0.00022678373926819577,8.263157894736842
